ECG_mean,ECG_std,ECG_max,ECG_min,ECG_power,BP_mean,BP_std,BP_max,BP_min,BP_power,EEG (C3-O1)_mean,EEG (C3-O1)_std,EEG (C3-O1)_max,EEG (C3-O1)_min,EEG (C3-O1)_power,Resp (nasal)_mean,Resp (nasal)_std,Resp (nasal)_max,Resp (nasal)_min,Resp (nasal)_power,H,HA,OA,X,CA,CAA,L,LA,A,W,1,2,3,4,R
0.08011573333333333,0.22863907964109917,1.234,-1.062,0.055212363055297795,100.96472452788194,21.889355084579734,158.84597056234165,64.61531005925762,483.2339707505404,0.004872992545260917,0.010633219333084469,0.05351437699680511,-0.046485623003194886,0.00010637519365431708,-0.012249224184055638,0.16833054562539973,0.3756019261637239,-0.28892455858747995,0.0012237857394174667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08030266666666665,0.24148670769400307,1.08,-1.066,0.06297356494107159,101.5910981641175,21.163641316917772,159.1152010209219,67.8460755622205,470.00846914329884,0.0048692438764643235,0.009402794994687233,0.053035143769968054,-0.02987220447284345,7.353928876259903e-05,0.0026865703584804707,0.1393487178661238,0.3756019261637239,-0.24719101123595505,0.00188786821902295,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.08162026666666668,0.2408137710678708,1.152,-1.084,0.05978355084749797,103.14391175702491,22.745703065821544,173.9228762428351,68.38453647938098,543.4287960204616,0.00522185303514377,0.009562584375165294,0.04233226837060703,-0.048083067092651754,8.055263011711828e-05,-0.013337399678972713,0.12464334124199188,0.2640449438202247,-0.27287319422150885,0.001106417721395279,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.07950373333333334,0.23506301138076904,1.096,-1.082,0.05762536414632618,98.52653759758482,22.490994189073795,164.23057973394646,62.99992730777618,487.80798094314105,0.004962619808306709,0.009544724794916004,0.05335463258785943,-0.033706070287539934,6.989712583159928e-05,-0.011232637774210807,0.11637485979997976,0.24077046548956663,-0.25601926163723915,0.0009118116117808796,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.08074239999999999,0.24434340269841542,1.194,-1.07,0.0633327407742931,100.74614529290928,21.895295186502725,165.3075015682674,66.76915372789955,523.8338485054375,0.0052244941427050055,0.010618489962926126,0.08865814696485623,-0.04424920127795527,9.811946950624242e-05,-0.00023691813804173356,0.13991824533350558,0.31942215088282505,-0.2608346709470305,0.0014485708638279575,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.08096853333333331,0.241465992795084,1.08,-1.112,0.06215796587861712,103.15083995415904,23.174400380191056,164.76904065110693,61.92300547345522,543.5653025195381,0.004952438764643237,0.010506049120634164,0.06741214057507987,-0.034345047923322686,0.00010313795996386401,-0.010490957731407173,0.13858111532869793,0.2680577849117175,-0.24959871589085073,0.0014579732421786606,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.08169119999999999,0.2416352239276385,1.214,-1.104,0.060109640202036664,100.90728869671818,24.101986791424018,181.9997900002423,62.19223593203546,537.4664047969981,0.005039999999999999,0.011523888284202082,0.07731629392971245,-0.034345047923322686,0.00011719259004935731,-0.009020652755484216,0.11833540859297337,0.23434991974317818,-0.2536115569823435,0.0010603812029212755,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.08051306666666666,0.23339003626817967,1.292,-1.092,0.05771648114564248,102.8687223309614,24.81991557700463,183.884403210304,62.730696849195944,599.1487802484028,0.005258509052183173,0.014799087936919725,0.07603833865814696,-0.05623003194888179,0.00020133993470737593,-0.01003616907437132,0.10072806065096107,0.19662921348314608,-0.18619582664526485,0.0004873213400017588,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.08048293333333333,0.23570422109513064,1.18,-1.048,0.058348409668116365,101.537970020291,22.6080344594393,171.76903257419318,68.11530602080074,519.0867096131617,0.005200425985090521,0.009843793637125437,0.05415335463258786,-0.0463258785942492,7.808064436268136e-05,0.006828892455858748,0.09426672455264154,0.23113964686998395,-0.12520064205457465,0.0005368068394181708,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.081148,0.24006071890808514,1.3,-1.036,0.06192423742250811,106.46966176577489,24.221375131136377,183.884403210304,69.46145831370194,589.6853920090892,0.005149179978700746,0.009010043077384339,0.04041533546325879,-0.03274760383386582,6.638383899842312e-05,-0.016594114499732478,0.09503284884582708,0.1797752808988764,-0.16613162118780098,0.000726088060824543,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
